Country,GDP,Population,Male_Life_Expectancy,Female_Life_Expectancy,CO2
Penis,20.5,38.9,62.8,65.8,N/A
Albania,15.1,2.88,76.7,80.1,4.3
Algeria,174.0,43.9,75.4,77.8,130.5
American Samoa,N/A,0.056,71.1,77.8,N/A
Andorra,3.24,0.077,N/A,N/A,N/A
Angola,106.0,32.9,57.8,63.4,18.0
Anguilla,0.293,0.015,N/A,N/A,N/A
Antarctica,N/A,N/A,N/A,N/A,N/A
Antigua and Barbuda,1.61,0.098,75.7,77.9,N/A
Argentina,518.0,45.2,73.0,79.8,183.4
Armenia,12.4,2.96,71.1,78.3,5.2
Aruba,3.2,0.107,73.6,78.4,N/A
Australia,1450.0,25.5,81.2,85.2,384.6
Austria,456.0,9.01,78.9,83.8,64.9
Azerbaijan,46.9,10.1,70.3,75.3,30.8
Bahamas,12.4,0.393,71.5,75.9,N/A
Bahrain,37.9,1.7,76.2,78.2,29.8
Bangladesh,270.0,165.0,70.5,74.1,78.3
Barbados,5.09,0.287,77.6,80.4,N/A
Belarus,59.7,9.45,69.3,79.3,54.1
Belgium,543.0,11.6,79.0,83.7,90.4
Belize,1.87,0.398,71.4,77.6,N/A
Benin,10.4,12.1,59.8,62.8,6.8
Bermuda,6.35,0.061,77.5,85.1,N/A
Bhutan,2.66,0.772,71.0,71.6,N/A
Bolivia,40.3,11.7,68.3,74.0,21.9
Bosnia and Herzegovina,19.8,3.28,74.6,79.6,22.3
Botswana,18.6,2.35,66.0,71.9,7.7
Bouvet Island,N/A,N/A,N/A,N/A,N/A
Brazil,1870.0,213.0,71.9,79.3,427.6
British Indian Ocean Territory,N/A,N/A,N/A,N/A,N/A
British Virgin Islands,1.45,0.033,N/A,N/A,N/A
Brunei,13.6,0.438,74.5,76.9,6.7
Bulgaria,66.2,6.95,71.3,78.5,42.8
Burkina Faso,16.2,20.9,60.1,61.6,N/A
Burundi,3.29,11.9,59.2,62.8,N/A
Cambodia,24.6,16.7,67.2,71.5,10.8
Cameroon,38.7,26.5,57.5,60.0,6.2
Canada,1710.0,37.7,80.2,84.2,547.8
Cape Verde,N/A,N/A,N/A,N/A,N/A
Cayman Islands,5.48,0.064,76.3,83.8,N/A
Central African Republic,2.24,4.83,50.5,54.9,N/A
Chad,11.4,16.4,52.4,55.2,N/A
Chile,298.0,19.1,77.4,82.3,86.1
China,13600.0,1440.0,74.5,79.0,9257.9
Christmas Island,N/A,N/A,N/A,N/A,N/A
Cocos,N/A,N/A,N/A,N/A,N/A
Colombia,330.0,50.9,74.2,79.8,75.3
Comoros,1.17,0.87,62.3,65.8,N/A
Congo,14.2,5.52,62.7,65.6,2.8
Congo,14.2,5.52,62.7,65.6,2.8
Cook Islands,0.363,0.018,71.7,79.6,N/A
Costa Rica,60.1,5.09,77.4,82.7,7.6
Croatia,61.0,4.1,75.0,81.4,16.2
Cuba,100.0,11.3,76.7,80.7,26.2
Cyprus,25.0,1.21,78.6,82.8,6.4
Czech Republic,245.0,10.7,76.5,81.8,101.7
Côte d'Ivoire,43.0,26.4,56.1,58.6,10.2
Denmark,356.0,5.79,78.7,82.7,31.3
Djibouti,2.92,0.988,64.6,68.7,N/A
Dominica,0.551,0.075,73.8,78.2,N/A
Dominican Republic,81.3,10.8,70.7,77.1,21.4
Ecuador,108.0,17.6,74.0,79.6,34.3
Egypt,250.0,102.0,69.5,74.1,209.2
El Salvador,26.1,6.49,68.1,77.5,5.7
Equatorial Guinea,13.3,1.4,57.3,59.4,N/A
Eritrea,6.85,3.55,63.6,68.0,0.6
Estonia,30.7,1.33,74.0,82.5,16.0
Ethiopia,80.3,115.0,64.1,67.9,13.1
Falkland Islands,N/A,0.003,N/A,N/A,N/A
Faroe Islands,N/A,0.05,78.3,84.5,N/A
Fiji,5.54,0.896,65.6,69.1,N/A
Finland,277.0,5.54,78.8,84.5,42.6
France,2780.0,65.3,79.4,85.4,306.1
French Guiana,N/A,0.299,76.7,83.0,N/A
French Polynesia,6.1,0.281,75.3,79.6,N/A
French Southern Territories,N/A,N/A,N/A,N/A,N/A
Gabon,17.0,2.23,64.0,68.2,3.4
Gambia,1.63,2.42,60.2,63.0,N/A
Gaza Strip,N/A,N/A,N/A,N/A,N/A
Georgia,17.6,3.99,69.1,77.9,8.7
Germany,3950.0,83.8,78.7,83.6,718.8
Ghana,65.5,31.1,62.6,64.7,13.8
Gibraltar,N/A,0.035,N/A,N/A,0.7
Greece,218.0,10.4,79.5,84.5,63.2
Greenland,3.05,0.057,69.1,73.6,N/A
Grenada,1.17,0.112,70.1,75.0,N/A
Guadeloupe,2780.0,65.3,79.4,85.4,306.1
Guam,N/A,0.169,76.5,83.3,N/A
Guatemala,78.5,17.9,71.0,76.8,15.7
Guernsey,N/A,N/A,N/A,N/A,N/A
Guinea,11.6,13.1,60.3,61.5,N/A
Guinea-Bissau,1.46,1.97,55.8,59.7,N/A
Guyana,3.82,0.787,66.7,72.9,N/A
Haiti,9.29,11.4,61.4,65.7,3.3
Heard Island and McDonald Islands,N/A,N/A,N/A,N/A,N/A
Honduras,24.0,9.9,72.7,77.3,9.4
Hong Kong,363.0,7.5,81.8,87.5,44.0
Hungary,158.0,9.66,73.0,80.1,45.8
Iceland,25.9,0.341,81.2,84.3,2.2
India,2780.0,1380.0,68.1,70.5,2161.6
Indonesia,1040.0,274.0,69.3,73.6,496.4
Iran,473.0,84.0,75.3,77.6,567.1
Iraq,212.0,40.2,68.3,72.4,139.9
Ireland,383.0,4.94,80.4,83.7,35.7
Isle of Man,N/A,0.086,N/A,N/A,N/A
Israel,371.0,8.66,81.0,84.3,63.8
Italy,2080.0,60.5,81.0,85.4,321.5
Jamaica,15.7,2.96,72.8,75.9,7.0
Japan,4970.0,126.0,81.3,87.5,1132.4
Jersey,N/A,N/A,N/A,N/A,N/A
Jordan,42.2,10.2,72.7,76.1,25.6
Kazakhstan,179.0,18.8,68.8,77.4,255.8
Kenya,87.9,53.8,63.8,68.5,16.3
Kiribati,0.189,0.119,63.9,72.0,N/A
Kosovo,50.6,8.74,73.2,78.4,46.1
Kuwait,142.0,4.27,74.6,76.4,89.4
Kyrgyzstan,8.09,6.52,67.2,75.4,8.9
Laos,N/A,N/A,N/A,N/A,N/A
Latvia,34.4,1.89,69.9,79.8,6.7
Lebanon,56.4,6.82,77.0,80.8,26.9
Lesotho,2.63,2.14,50.4,56.8,N/A
Liberia,2.12,5.06,62.2,65.0,N/A
Libya,34.4,6.87,69.9,75.7,41.5
Liechtenstein,6.8,0.039,N/A,N/A,N/A
Lithuania,53.5,2.72,70.0,81.1,10.8
Luxembourg,70.9,0.626,79.8,84.2,8.6
Macau,N/A,N/A,N/A,N/A,N/A
Macedonia,12.6,2.08,73.6,77.6,7.4
Madagascar,13.9,27.7,64.9,68.1,N/A
Malawi,7.2,19.1,60.3,66.6,N/A
Malaysia,359.0,32.4,74.0,78.1,211.0
Maldives,5.33,0.54,77.1,80.4,N/A
Mali,17.2,20.3,58.0,59.5,N/A
Malta,14.5,0.442,80.4,84.1,1.5
Marshall Islands,0.214,0.053,71.3,72.5,N/A
Martinique,N/A,0.375,78.9,85.4,N/A
Mauritania,7.62,4.65,63.0,66.2,N/A
Mauritius,14.2,1.27,71.4,78.2,4.2
Mayotte,2780.0,65.3,79.4,85.4,306.1
Mexico,1220.0,129.0,72.1,77.8,446.0
Micronesia,0.371,0.115,66.1,69.4,N/A
Moldova,11.3,4.03,67.4,75.9,7.5
Monaco,7.19,0.039,N/A,N/A,N/A
Mongolia,13.0,3.28,65.5,73.8,19.3
Montenegro,5.51,0.628,74.2,79.1,2.2
Montserrat,0.064,0.005,N/A,N/A,N/A
Morocco,118.0,36.9,75.1,77.5,58.1
Mozambique,14.7,31.3,57.0,62.8,7.6
Myanmar,72.7,54.4,63.7,69.8,30.4
Namibia,14.5,2.54,60.0,65.8,4.0
Nauru,0.127,0.011,57.8,64.8,N/A
Nepal,27.8,29.1,68.8,71.7,10.1
Netherlands,914.0,17.1,80.3,83.8,155.6
Netherlands Antilles,N/A,N/A,N/A,N/A,N/A
New Caledonia,10.2,0.286,74.7,80.2,N/A
New Zealand,208.0,4.82,80.3,83.8,32.2
Nicaragua,13.1,6.62,70.6,77.7,5.1
Niger,422.0,206.0,53.3,55.1,86.0
Nigeria,422.0,206.0,53.3,55.1,86.0
Niue,N/A,0.002,70.1,76.3,N/A
Norfolk Island,N/A,N/A,N/A,N/A,N/A
North Korea,N/A,N/A,N/A,N/A,N/A
Northern Mariana Islands,N/A,0.055,74.9,77.9,N/A
Norway,434.0,5.42,80.2,84.2,34.8
Oman,92.1,5.11,75.8,80.0,65.5
Pakistan,282.0,221.0,66.1,68.0,183.4
Palau,0.284,0.022,68.1,77.8,N/A
Palestinian Territories,N/A,N/A,N/A,N/A,N/A
Panama,65.1,4.31,75.1,81.5,9.6
Papua New Guinea,23.1,8.95,62.9,65.4,N/A
Paraguay,40.3,7.13,72.1,76.2,7.7
Peru,222.0,33.0,73.7,79.2,49.7
Philippines,331.0,110.0,67.1,75.3,126.5
Pitcairn Islands,N/A,N/A,N/A,N/A,N/A
Poland,586.0,37.8,74.5,82.4,305.8
Portugal,241.0,10.2,78.7,84.6,50.8
Puerto Rico,101.0,2.86,76.2,83.3,N/A
Qatar,191.0,2.88,78.9,81.8,80.1
Romania,240.0,19.2,72.4,79.3,70.8
Russia,1660.0,146.0,66.8,77.5,1536.9
Rwanda,9.51,13.0,66.3,70.5,N/A
Réunion,N/A,0.895,77.3,83.8,N/A
Saint Helena,N/A,0.004,N/A,N/A,N/A
Saint Kitts and Nevis,1.01,0.057,N/A,N/A,N/A
Saint Lucia,1.92,0.184,74.7,77.4,N/A
Saint Pierre and Miquelon,N/A,0.006,N/A,N/A,N/A
Saint Vincent and the Grenadines,0.811,0.111,70.1,74.9,N/A
Samoa,0.833,0.198,71.1,75.2,N/A
San Marino,1.64,0.034,81.7,86.4,N/A
Saudi Arabia,782.0,34.8,73.7,76.5,532.2
Senegal,23.8,16.7,65.3,69.4,8.3
Serbia,50.6,8.74,73.2,78.4,46.1
Seychelles,1.59,0.098,69.8,77.3,N/A
Sierra Leone,4.1,7.98,53.2,54.8,N/A
Singapore,361.0,5.85,81.2,85.5,47.4
Slovakia,106.0,5.46,73.7,80.8,32.2
Slovenia,54.0,2.08,78.2,83.8,13.4
Solomon Islands,1.27,0.687,71.1,74.6,N/A
Somalia,1.49,15.9,55.3,58.7,N/A
South Africa,368.0,59.3,60.2,67.1,421.7
South Georgia and the South Sandwich Islands,N/A,N/A,N/A,N/A,N/A
South Korea,N/A,N/A,N/A,N/A,N/A
Spain,1420.0,46.8,80.6,86.0,253.4
Sri Lanka,88.9,21.4,73.3,80.0,23.1
Sudan,50.5,43.8,63.1,66.8,18.8
Suriname,3.46,0.587,68.3,74.8,1.9
Svalbard and Jan Mayen,N/A,N/A,N/A,N/A,N/A
Swaziland,N/A,N/A,N/A,N/A,N/A
Sweden,556.0,10.1,80.8,84.4,37.6
Switzerland,705.0,8.65,81.6,85.4,37.1
Syria,16.6,17.5,65.9,77.7,23.0
São Tomé and Príncipe,0.411,0.219,67.7,72.4,N/A
Taiwan,N/A,N/A,N/A,N/A,N/A
Tajikistan,7.52,9.54,68.6,73.0,5.8
Tanzania,57.1,59.7,63.0,66.6,10.1
Thailand,505.0,69.8,73.1,80.6,244.3
Timor-Leste,2.58,1.32,67.2,71.3,N/A
Togo,5.16,8.28,59.7,61.4,2.1
Tokelau,N/A,N/A,N/A,N/A,N/A
Tonga,0.504,0.106,68.8,72.7,N/A
Trinidad and Tobago,23.8,1.4,70.7,76.0,18.0
Tunisia,39.9,11.8,74.4,78.5,26.2
Turkey,771.0,84.3,74.3,80.2,378.6
Turkmenistan,40.7,6.03,64.5,71.5,69.0
Turks and Caicos Islands,1.02,0.037,75.8,77.8,N/A
Tuvalu,0.046,0.012,67.4,71.9,N/A
U.S. Minor Outlying Islands,N/A,N/A,N/A,N/A,N/A
U.S. Virgin Islands,N/A,N/A,N/A,N/A,N/A
Uganda,30.1,45.7,60.4,65.0,N/A
Ukraine,131.0,43.7,66.8,76.6,171.3
United Arab Emirates,414.0,9.89,77.1,79.1,196.5
United Kingdom,2860.0,67.9,79.4,82.9,358.7
United States,20600.0,331.0,76.3,81.3,4761.3
Uruguay,59.6,3.47,73.9,81.3,5.9
Uzbekistan,50.5,33.5,69.4,73.6,81.2
Vanuatu,0.889,0.307,68.8,71.9,N/A
Vatican City,N/A,N/A,N/A,N/A,N/A
Venezuela,208.0,28.4,68.4,76.1,113.7
Vietnam,245.0,97.3,71.2,79.4,191.2
Wallis and Futuna,N/A,0.012,72.8,78.7,N/A
Western Sahara,N/A,0.597,68.2,71.9,N/A
Yemen,26.7,29.8,64.4,67.7,8.9
Zambia,27.3,18.4,60.3,66.2,6.0
Zimbabwe,24.3,14.9,59.2,62.2,9.7
